KRAJ_ID;KRAJ;OKRES_ID;OKRES;OBEC_ID;OBEC;ZSJ_ID;ZSJ;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti
KRAJ_ID;KRAJ;OKRES_ID;OKRES;OBEC_ID;OBEC;ZSJ_ID;ZSJ;slovenský;maïarský;rómsky;rusínsky;ukrajinský;èeský;nemecký;po¾ský;chorvátsky;jidiš;bulharský;anglický;ostatné;nezistený;spolu
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 040 640;Hradný svah;175;5;;;;5;2;;;;;4;2;15;208
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 040 720;Lýceum;1 559;45;;;;16;9;1;2;1;;43;39;183;1 898
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 040 810;Pamätník SNP;195;13;;;;4;3;1;;;;;1;26;243
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 040 990;Bratislava - historické jadro;1 078;31;;;;9;6;;2;1;1;15;21;133;1 297
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 020;Reduta;1 379;53;4;1;;20;5;1;2;1;1;20;40;154;1 681
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 110;Podhradie;289;8;;;;3;;;;;3;2;3;41;349
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 290;Park kultúry;34;3;;;;;1;;;;;;1;5;44
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 370;Vinárky;670;3;;1;;7;1;;1;;;4;7;117;811
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 450;Bôrik;1 802;26;;1;;12;9;1;3;;;11;22;303;2 190
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 530;Na Hrebienku;2 303;74;;2;1;29;2;1;2;;;6;25;245;2 690
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 610;Partizánska;1 864;26;1;3;;29;18;;;;;14;13;199;2 167
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 700;Slavín;1 795;77;;;;25;10;1;1;;;8;20;202;2 139
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 880;Štefánka;1 031;17;;1;;8;4;1;;;;5;13;115;1 195
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 041 960;Charitas;633;32;;4;1;12;5;1;1;;;4;23;69;785
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 042 000;Metropol;597;16;;;;4;6;;;;;2;5;77;707
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 042 180;Rajská ulica;729;30;;3;1;10;3;;1;;;2;5;90;874
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 042 260;Bezruèova ulica;1 247;32;;1;4;14;6;;;;;8;7;154;1 473
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 042 340;Jakubovo námestie;2 064;80;1;1;1;10;1;2;1;1;;17;16;223;2 418
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 042 420;Justièný palác;1 680;45;;;;9;8;;4;;;3;13;234;1 996
